parent,child,ownership,owner_type,color
Amazon,Jpmorgan Chase Co,0.0086,Institution,#42649e
Amazon,Bank Of America Corp,0.0085,Institution,#ff2f00
Amazon,Bank Of New York Mellon,0.0078,Institution,#fb02ff
Amazon,Capital Research Global Investors,0.0073,Institution,#8502ff
Amazon,Nuveen Asset Management LLC,0.0064,Institution,#474429
Amazon,Capital International Investors,0.0062,Institution,#8502ff
Amazon,Capital World Investors,0.0062,Institution,#8502ff
Amazon,Baillie Gifford Co,0.0058,Institution,#1de288
Amazon,Jennison Associates LLC,0.0054,Institution,#a716e9
Amazon,Wellington Management Group Llp,0.0052,Institution,#5eff01
Amazon,Legal General Group PLC,0.0049,Institution,#ff6200
Amazon,Janus Henderson Group PLC,0.0045,Institution,#5098af
Amazon,Ubs Asset Management Americas Inc,0.0043,Institution,#ccb762
Amazon,Invesco Ltd,0.0041,Institution,#244513
Amazon,Wells Fargo Company,0.0041,Institution,#fff700
Amazon,Insider,0.1073,Insider,#797979
Amazon,Other Institution,0.2845,Institution,#000000
Amazon,Retail,0.2715,Retail,#ffffff
Disney,Vanguard Group Inc,0.0747,Institution,#651c9c
Disney,Blackrock Inc,0.0641,Institution,#0b0bff
Disney,State Street Corp,0.0388,Institution,#05e2ff
Disney,State Farm Mutual Automobile Insurance Co,0.0210,Institution,#d04d2f
Disney,Morgan Stanley,0.0177,Institution,#ff1097
Disney,Fmr LLC,0.0171,Institution,#c8ff00
Disney,Geode Capital Management LLC,0.0149,Institution,#76bf3d
Disney,Bank Of America Corp,0.0145,Institution,#ff2f00
Disney,Northern Trust Corp,0.0128,Institution,#ffb300
Disney,Bank Of New York Mellon,0.0121,Institution,#fb02ff
Disney,Price T Rowe Associates Inc,0.0117,Institution,#af03ff
Disney,Franklin Resources Inc,0.0072,Institution,#4a2e32
Disney,Royal Bank Of Canada,0.0068,Institution,#dc4223
Disney,Nuveen Asset Management LLC,0.0065,Institution,#474429
Disney,Loomis Sayles Co L P,0.0062,Institution,#40bf49
Disney,Goldman Sachs Group Inc,0.0059,Institution,#c9b835
Disney,Legal General Group PLC,0.0058,Institution,#ff6200
Disney,Wells Fargo Company,0.0058,Institution,#fff700
Disney,Invesco Ltd,0.0057,Institution,#244513
Disney,Fisher Asset Management LLC,0.0057,Institution,#1e36e1
Disney,Ubs Asset Management Americas Inc,0.0053,Institution,#ccb762
Disney,Massachusetts Financial Services Co,0.0052,Institution,#c271b4
Disney,Clearbridge Investments LLC,0.0049,Institution,#ceef10
Disney,Jpmorgan Chase Co,0.0046,Institution,#42649e
Disney,Insider,0.0090,Insider,#797979
Disney,Other Institution,0.2790,Institution,#000000
Disney,Retail,0.3370,Retail,#ffffff
Google,Vanguard Group Inc,0.0661,Institution,#651c9c
Google,Blackrock Inc,0.0597,Institution,#0b0bff
Google,State Street Corp,0.0326,Institution,#05e2ff
Google,Fmr LLC,0.0312,Institution,#c8ff00
Google,Price T Rowe Associates Inc,0.0308,Institution,#af03ff
Google,Geode Capital Management LLC,0.0141,Institution,#76bf3d
Google,Northern Trust Corp,0.0113,Institution,#ffb300
Google,Capital Research Global Investors,0.0107,Institution,#8502ff
Google,Wellington Management Group Llp,0.0106,Institution,#5eff01
Google,Jpmorgan Chase Co,0.0103,Institution,#42649e
Google,Bank Of New York Mellon,0.0097,Institution,#fb02ff
Google,Bank Of America Corp,0.0089,Institution,#ff2f00
Google,Capital International Investors,0.0087,Institution,#8502ff
Google,Morgan Stanley,0.0083,Institution,#ff1097
Google,Nuveen Asset Management LLC,0.0070,Institution,#474429
Google,Capital World Investors,0.0067,Institution,#8502ff
Google,Alliance Bernstein LP,0.0060,Institution,#3dc283
Google,Legal General Group PLC,0.0055,Institution,#ff6200
Google,Tci Fund Management Ltd,0.0053,Institution,#6f7990
Google,Massachusetts Financial Services Co,0.0052,Institution,#c271b4
Google,Goldman Sachs Group Inc,0.0049,Institution,#c9b835
Google,Insider,0.0935,Insider,#797979
Google,Retail,0.2453,Retail,#ffffff
Google,Other Institution,0.3076,Institution,#000000
Facebook,Vanguard Group Inc,0.0646,Institution,#651c9c
Facebook,Blackrock Inc,0.0557,Institution,#0b0bff
Facebook,Fmr LLC,0.0441,Institution,#c8ff00
Facebook,Price T Rowe Associates Inc,0.0369,Institution,#af03ff
Facebook,Ix Lp Accel,0.0346,Insider,#a77a58
Facebook,State Street Corp,0.0324,Institution,#05e2ff
Facebook,Investment Strategies Llc Gs,0.0182,Insider,#6a9395
Facebook,Capital International Investors,0.0172,Institution,#8502ff
Facebook,Capital World Investors,0.0153,Institution,#8502ff
Facebook,Capital Research Global Investors,0.0133,Institution,#8502ff
Facebook,Geode Capital Management LLC,0.0133,Institution,#76bf3d
Facebook,Global Ii Lp Dst,0.0121,Insider,#a77a58
Facebook,Global Iii Lp Dst,0.0111,Insider,#a77a58
Facebook,Northern Trust Corp,0.0096,Institution,#ffb300
Facebook,Wellington Management Group Llp,0.0092,Institution,#5eff01
Facebook,Morgan Stanley,0.0091,Institution,#ff1097
Facebook,Jpmorgan Chase Co,0.0077,Institution,#42649e
Facebook,Alliance Bernstein LP,0.0074,Institution,#3dc283
Facebook,Bank Of New York Mellon,0.0072,Institution,#fb02ff
Facebook,Bank Of America Corp,0.0072,Institution,#ff2f00
Facebook,Nuveen Asset Management LLC,0.0064,Institution,#474429
Facebook,Invesco Ltd,0.0058,Institution,#244513
Facebook,Jennison Associates LLC,0.0053,Institution,#a716e9
Facebook,Vanguard Group Inc,0.0569,Institution,#651c9c
Facebook,Fidelity Investments,0.0279,Institution,#294a20
Facebook,Price T Rowe Associates Inc,0.0091,Institution,#af03ff
Facebook,Insider,0.0133,Insider,#797979
Facebook,Retail,0.1851,Retail,#ffffff
Facebook,Other Institution,0.2640,Institution,#000000
Twitter,Morgan Stanley,0.0922,Institution,#ff1097
Twitter,Vanguard Group Inc,0.0874,Institution,#651c9c
Twitter,Blackrock Inc,0.0656,Institution,#0b0bff
Twitter,State Street Corp,0.0432,Institution,#05e2ff
Twitter,Llc Rtlc,0.0403,Insider,#2aa5d5
Twitter,Fmr LLC,0.0243,Institution,#c8ff00
Twitter,Aristotle Capital Management LLC,0.0240,Institution,#a42ad5
Twitter,Clearbridge Investments LLC,0.0232,Institution,#ceef10
Twitter,Morgan Digital Growth Fund Lp Jp,0.0209,Insider,#ff1097
Twitter,Morgan Investment Management Inc Jp,0.0209,Insider,#ff1097
Twitter,Ii Llc Rtlc,0.0209,Insider,#2aa5d5
Twitter,Jpmorgan Chase Co,0.0206,Institution,#42649e
Twitter,Geode Capital Management LLC,0.0167,Institution,#76bf3d
Twitter,Northern Trust Corp,0.0148,Institution,#ffb300
Twitter,Wellington Management Group Llp,0.0143,Institution,#5eff01
Twitter,Nuveen Asset Management LLC,0.0106,Institution,#474429
Twitter,Bank Of America Corp,0.0098,Institution,#ff2f00
Twitter,Ark Investment Management LLC,0.0098,Institution,#897688
Twitter,Elliott Investment Management LP,0.0088,Institution,#69a35c
Twitter,Srs Investment Management LLC,0.0087,Institution,#3da9c2
Twitter,Credit Suisse Ag 1,0.0087,Institution,#43bca8
Twitter,Bank Of Montreal,0.0087,Institution,#30cf4d
Twitter,Capital World Investors,0.0077,Institution,#8502ff
Twitter,Bank Of New York Mellon,0.0071,Institution,#fb02ff
Twitter,Vanguard Group Inc,0.0660,Institution,#651c9c
Twitter,Morgan Stanley,0.0167,Institution,#ff1097
Twitter,Fidelity Investments,0.0215,Institution,#294a20
Twitter,Insider,0.0255,Insider,#797979
Twitter,Retail,0.0694,Retail,#ffffff
Twitter,Other Institution,0.1917,Institution,#000000
AECOM,Primecap Management Co,0.1499,Institution,#45374d
AECOM,Vanguard Group Inc,0.0917,Institution,#651c9c
AECOM,Blackrock Inc,0.0850,Institution,#0b0bff
AECOM,Fmr LLC,0.0718,Institution,#c8ff00
AECOM,H. Whitney Equity Partners Vi Llc J.,0.0589,Insider,#66996d
AECOM,Starboard Value LP,0.0534,Institution,#a328d7
AECOM,Alliance Bernstein LP,0.0518,Institution,#3dc283
AECOM,Barrow Hanley Mewhinney Strauss LLC,0.0513,Institution,#a56b5a
AECOM,State Street Corp,0.0258,Institution,#05e2ff
AECOM,Invesco Ltd,0.0199,Institution,#244513
AECOM,Dimensional Fund Advisors LP,0.0150,Institution,#32524a
AECOM,Geode Capital Management LLC,0.0119,Institution,#76bf3d
AECOM,Bank Of New York Mellon,0.0099,Institution,#fb02ff
AECOM,Citadel Advisors LLC,0.0092,Institution,#0200ff
AECOM,Northern Trust Corp,0.0090,Institution,#ffb300
AECOM,Charles Schwab Investment Management,0.0081,Institution,#233c8c
AECOM,Owl Creek Asset Management LP,0.0060,Institution,#e01f81
AECOM,Bank Of America Corp,0.0059,Institution,#ff2f00
AECOM,Agf Investments Inc,0.0055,Institution,#d3e11e
AECOM,Insider,0.0940,Insider,#797979
AECOM,Other Institution,0.1660,Institution,#000000
Louisiana-Pacific Corp,Blackrock Inc,0.1365,Institution,#0b0bff
Louisiana-Pacific Corp,Vanguard Group Inc,0.1164,Institution,#651c9c
Louisiana-Pacific Corp,Wellington Management Group Llp,0.0588,Institution,#5eff01
Louisiana-Pacific Corp,Platinum Investment Management Ltd,0.0419,Institution,#36c987
Louisiana-Pacific Corp,Macquarie Group Ltd,0.0335,Institution,#65649b
Louisiana-Pacific Corp,State Street Corp,0.0325,Institution,#05e2ff
Louisiana-Pacific Corp,Dimensional Fund Advisors LP,0.0285,Institution,#32524a
Louisiana-Pacific Corp,Bank Of New York Mellon,0.0269,Institution,#fb02ff
Louisiana-Pacific Corp,Goldman Sachs Group Inc,0.0200,Institution,#c9b835
Louisiana-Pacific Corp,Geode Capital Management LLC,0.0175,Institution,#76bf3d
Louisiana-Pacific Corp,Invesco Ltd,0.0174,Institution,#244513
Louisiana-Pacific Corp,Northern Trust Corp,0.0163,Institution,#ffb300
Louisiana-Pacific Corp,Fmr LLC,0.0155,Institution,#c8ff00
Louisiana-Pacific Corp,Bank Of America Corp,0.0154,Institution,#ff2f00
Louisiana-Pacific Corp,Charles Schwab Investment Management,0.0146,Institution,#233c8c
Louisiana-Pacific Corp,Scopus Asset Management LP,0.0137,Institution,#a3dc23
Louisiana-Pacific Corp,Marshall Wace North America LP,0.0133,Institution,#8a54ab
Louisiana-Pacific Corp,D E Shaw Co Inc,0.0127,Institution,#7eaa55
Louisiana-Pacific Corp,Nuveen Asset Management LLC,0.0123,Institution,#474429
Louisiana-Pacific Corp,First Trust Advisors LP,0.0121,Institution,#66996f
Louisiana-Pacific Corp,Lsv Asset Management,0.0120,Institution,#de6221
Louisiana-Pacific Corp,Fuller Thaler Asset Management Inc,0.0112,Institution,#813dc2
Louisiana-Pacific Corp,Acadian Asset Management LLC,0.0111,Institution,#b94a46
Louisiana-Pacific Corp,Pictet Asset Management Ltd,0.0111,Institution,#61a659
Louisiana-Pacific Corp,Channing Capital Management LLC,0.0101,Institution,#c426d9
Louisiana-Pacific Corp,Insider,0.0276,Insider,#797979
Louisiana-Pacific Corp,Retail,0.0159,Retail,#ffffff
Louisiana-Pacific Corp,Other Institution,0.2452,Institution,#000000
Albertsons,Cerberus Capital Management LP,0.3254,Institution,#b9467a
Albertsons,Lubertadler Management Company LP,0.1192,Institution,#c0c53a
Albertsons,Realty Corp Kimco,0.0854,Insider,#788c73
Albertsons,Colony Capital Inc,0.0374,Institution,#ca33cc
Albertsons,Digitalbridge Group Inc,0.0374,Institution,#11ee4c
Albertsons,Massachusetts Financial Services Co,0.0128,Institution,#c271b4
Albertsons,Blackrock Inc,0.0107,Institution,#0b0bff
Albertsons,Private Management Group Inc,0.0049,Institution,#d2332d
Albertsons,Jacobs Levy Equity Management Inc,0.0039,Institution,#50af61
Albertsons,State Street Corp,0.0037,Institution,#05e2ff
Albertsons,Bank Of Montreal,0.0029,Institution,#30cf4d
Albertsons,Bank Of America Corp,0.0028,Institution,#ff2f00
Albertsons,Vanguard Group Inc,0.0027,Institution,#651c9c
Albertsons,Deprince Race Zollo Inc,0.0027,Institution,#a8a357
Albertsons,Bank Of New York Mellon,0.0026,Institution,#fb02ff
Albertsons,Seizert Capital Partners LLC,0.0025,Institution,#254bda
Albertsons,Insider,0.1492,Insider,#797979
Albertsons,Retail,0.1143,Retail,#ffffff
Albertsons,Other Institution,0.0795,Institution,#000000
Archer-Daniels-Midland Co,Vanguard Group Inc,0.1005,Institution,#651c9c
Archer-Daniels-Midland Co,State Farm Mutual Automobile Insurance Co,0.0917,Institution,#d04d2f
Archer-Daniels-Midland Co,Blackrock Inc,0.0674,Institution,#0b0bff
Archer-Daniels-Midland Co,State Street Corp,0.0552,Institution,#05e2ff
Archer-Daniels-Midland Co,Capital World Investors,0.0527,Institution,#8502ff
Archer-Daniels-Midland Co,Wellington Management Group Llp,0.0349,Institution,#5eff01
Archer-Daniels-Midland Co,Macquarie Group Ltd,0.0211,Institution,#65649b
Archer-Daniels-Midland Co,Massachusetts Financial Services Co,0.0190,Institution,#c271b4
Archer-Daniels-Midland Co,Geode Capital Management LLC,0.0172,Institution,#76bf3d
Archer-Daniels-Midland Co,Northern Trust Corp,0.0168,Institution,#ffb300
Archer-Daniels-Midland Co,Vi CTO Ry Capital Management Inc,0.0162,Institution,#a5b946
Archer-Daniels-Midland Co,Bank Of New York Mellon,0.0108,Institution,#fb02ff
Archer-Daniels-Midland Co,Diamond Hill Capital Management Inc,0.0102,Institution,#d52a81
Archer-Daniels-Midland Co,Invesco Ltd,0.0095,Institution,#244513
Archer-Daniels-Midland Co,Dimensional Fund Advisors LP,0.0080,Institution,#32524a
Archer-Daniels-Midland Co,Legal General Group PLC,0.0078,Institution,#ff6200
Archer-Daniels-Midland Co,Nordea Investment Management Ab,0.0076,Institution,#80c738
Archer-Daniels-Midland Co,Morgan Stanley,0.0066,Institution,#ff1097
Archer-Daniels-Midland Co,Amundi Asset Management Us Inc,0.0061,Institution,#3656c9
Archer-Daniels-Midland Co,Bank Of America Corp,0.0060,Institution,#ff2f00
Archer-Daniels-Midland Co,Deutsche Bank Ag,0.0059,Institution,#b84757
Archer-Daniels-Midland Co,Charles Schwab Investment Management Inc,0.0056,Institution,#233c8c
Archer-Daniels-Midland Co,Marathon Asset Management Llp,0.0053,Institution,#b84759
Archer-Daniels-Midland Co,Franklin Resources Inc,0.0049,Institution,#4a2e32
Archer-Daniels-Midland Co,Insider,0.04,Insider,#797979
Archer-Daniels-Midland Co,Retail,0.1802,Retail,#ffffff
Archer-Daniels-Midland Co,Other Institution,0.1928,Institution,#000000
Best Buy,Vanguard Group Inc,0.1150,Institution,#651c9c
Best Buy,Blackrock Inc,0.0838,Institution,#0b0bff
Best Buy,Fmr LLC,0.0551,Institution,#c8ff00
Best Buy,Jpmorgan Chase Co,0.0455,Institution,#42649e
Best Buy,State Street Corp,0.0414,Institution,#05e2ff
Best Buy,Ameriprise Financial Inc,0.0187,Institution,#ffcc00
Best Buy,Geode Capital Management LLC,0.0178,Institution,#76bf3d
Best Buy,Aqr Capital Management LLC,0.0142,Institution,#3027d8
Best Buy,Bank Of New York Mellon,0.0131,Institution,#fb02ff
Best Buy,Northern Trust Corp,0.0126,Institution,#ffb300
Best Buy,Wells Fargo Company,0.0124,Institution,#fff700
Best Buy,Charles Schwab Investment Management,0.0114,Institution,#233c8c
Best Buy,Dimensional Fund Advisors LP,0.0106,Institution,#32524a
Best Buy,Amundi Asset Management Us Inc,0.0102,Institution,#3656c9
Best Buy,Lsv Asset Management,0.0100,Institution,#44335c
Best Buy,Bank Of America Corp,0.0096,Institution,#ff2f00
Best Buy,Legal General Group PLC,0.0092,Institution,#ff6200
Best Buy,Janus Henderson Group PLC,0.0088,Institution,#5098af
Best Buy,Boston Partners,0.0077,Institution,#b84796
Best Buy,Raymond James Associates,0.0073,Institution,#4a7ab5
Best Buy,Ubs Asset Management Americas Inc,0.0070,Institution,#ccb762
Best Buy,Sumitomo Mitsui Trust Holdings Inc,0.0068,Institution,#db24b9
Best Buy,Parametric Portfolio Associates LLC,0.0067,Institution,#563dc2
Best Buy,Two Si GM A Advisers LP,0.0066,Institution,#38c79e
Best Buy,Insider,0.1380,Insider,#797979
Best Buy,Retail,0.0890,Retail,#ffffff
Best Buy,Other Institution,0.2315,Institution,#000000
Ameriprise Financial Inc,Berkshire Hathaway Inc,0.3684,Insider,#c7996f
Ameriprise Financial Inc,Vanguard Group Inc,0.1167,Institution,#651c9c
Ameriprise Financial Inc,Blackrock Inc,0.0773,Institution,#0b0bff
Ameriprise Financial Inc,State Street Corp,0.0474,Institution,#05e2ff
Ameriprise Financial Inc,Jpmorgan Chase Co,0.0389,Institution,#42649e
Ameriprise Financial Inc,Aristotle Capital Management LLC,0.0379,Institution,#a42ad5
Ameriprise Financial Inc,Bank Of New York Mellon,0.0217,Institution,#fb02ff
Ameriprise Financial Inc,Lsv Asset Management,0.0203,Institution,#44335c
Ameriprise Financial Inc,Geode Capital Management LLC,0.0190,Institution,#76bf3d
Ameriprise Financial Inc,Boston Partners,0.0184,Institution,#b84796
Ameriprise Financial Inc,Ubs Asset Management Americas Inc,0.0180,Institution,#ccb762
Ameriprise Financial Inc,Ubs Group Ag,0.0170,Institution,#ccb762
Ameriprise Financial Inc,Lyrical Asset Management LP,0.0164,Institution,#a6c43b
Ameriprise Financial Inc,Northern Trust Corp,0.0131,Institution,#ffb300
Ameriprise Financial Inc,American Century Companies Inc,0.0129,Institution,#12ed76
Ameriprise Financial Inc,Lord Abbett Co LLC,0.0109,Institution,#12ed76
Ameriprise Financial Inc,Fmr LLC,0.0100,Institution,#c8ff00
Ameriprise Financial Inc,Dimensional Fund Advisors LP,0.0096,Institution,#32524a
Ameriprise Financial Inc,Royal Bank Of Canada,0.0095,Institution,#dc4223
Ameriprise Financial Inc,Morgan Stanley,0.0090,Institution,#ff1097
Ameriprise Financial Inc,Beutel Goodman Co Ltd,0.0089,Institution,#3823dc
Ameriprise Financial Inc,Invesco Ltd,0.0082,Institution,#244513
Ameriprise Financial Inc,Brown Advisory Inc,0.0082,Institution,#a66f59
Ameriprise Financial Inc,Bank Of America Corp,0.0078,Institution,#ff2f00
Ameriprise Financial Inc,Parametric Portfolio Associates LLC,0.0078,Institution,#563dc2
Ameriprise Financial Inc,Insider,0.0022,Insider,#797979
Ameriprise Financial Inc,Retail,0.0400,Retail,#ffffff
Ameriprise Financial Inc,Other Institution,0.0245,Institution,#000000
Bank Of New York Mellon,Berkshire Hathaway Inc,0.1007,Insider,#c7996f
Bank Of New York Mellon,Berkshire Hathaway Inc,0.0826,Institution,#c7996f
Bank Of New York Mellon,Vanguard Group Inc,0.0790,Institution,#651c9c
Bank Of New York Mellon,Dodge Cox,0.0702,Institution,#ebb3ff
Bank Of New York Mellon,Blackrock Inc,0.0681,Institution,#0b0bff
Bank Of New York Mellon,State Street Corp,0.0433,Institution,#05e2ff
Bank Of New York Mellon,Fmr LLC,0.0266,Institution,#c8ff00
Bank Of New York Mellon,Longview Partners Guernsey Ltd,0.0228,Institution,#45572f
Bank Of New York Mellon,Artisan Partners Limited Partnership,0.0226,Institution,#af7050
Bank Of New York Mellon,American Century Companies Inc,0.0201,Institution,#12ed76
Bank Of New York Mellon,First Eagle Investment Management LLC,0.0190,Institution,#1de24a
Bank Of New York Mellon,Davis Selected Advisers,0.0172,Institution,#afbf40
Bank Of New York Mellon,Geode Capital Management LLC,0.0147,Institution,#76bf3d
Bank Of New York Mellon,Invesco Ltd,0.0119,Institution,#244513
Bank Of New York Mellon,Wells Fargo Company,0.0108,Institution,#fff700
Bank Of New York Mellon,Northern Trust Corp,0.0102,Institution,#ffb300
Bank Of New York Mellon,Dimensional Fund Advisors LP,0.0093,Institution,#32524a
Bank Of New York Mellon,Hotchkis Wiley Capital Management LLC,0.0093,Institution,#8a84b8
Bank Of New York Mellon,Fayez Sarofim Co,0.0084,Institution,#55f40b
Bank Of New York Mellon,Nuveen Asset Management LLC,0.0076,Institution,#474429
Bank Of New York Mellon,Legal General Group PLC,0.0075,Institution,#ff6200
Bank Of New York Mellon,Price T Rowe Associates Inc,0.0071,Institution,#af03ff
Bank Of New York Mellon,Bank Of New York Mellon,0.0067,Institution,#fb02ff
Bank Of New York Mellon,Insider,0.0433,Insider,#797979
Bank Of New York Mellon,Retail,0.1100,Retail,#ffffff
Bank Of New York Mellon,Other Institution,0.171,Institution,#000000
Morgan Stanley,Mitsubishi Ufj Financial Group Inc,0.2027,Institution,#7d9768
Morgan Stanley,Investment Corp China,0.1134,Insider,#cb3734
Morgan Stanley,State Street Corp,0.0711,Institution,#05e2ff
Morgan Stanley,Vanguard Group Inc,0.0650,Institution,#651c9c
Morgan Stanley,Blackrock Inc,0.0642,Institution,#0b0bff
Morgan Stanley,Price T Rowe Associates Inc,0.0371,Institution,#af03ff
Morgan Stanley,Jpmorgan Chase Co,0.0296,Institution,#42649e
Morgan Stanley,Fmr LLC,0.0240,Institution,#c8ff00
Morgan Stanley,Wellington Management Group Llp,0.0182,Institution,#5eff01
Morgan Stanley,Geode Capital Management LLC,0.0125,Institution,#76bf3d
Morgan Stanley,Bank Of America Corp,0.0118,Institution,#ff2f00
Morgan Stanley,Ameriprise Financial Inc,0.0096,Institution,#ffcc00
Morgan Stanley,Northern Trust Corp,0.0093,Institution,#ffb300
Morgan Stanley,Nuveen Asset Management LLC,0.0091,Institution,#474429
Morgan Stanley,Janus Henderson Group PLC,0.0075,Institution,#5098af
Morgan Stanley,Bank Of New York Mellon,0.0073,Institution,#fb02ff
Morgan Stanley,Massachusetts Financial Services Co,0.0072,Institution,#c271b4
Morgan Stanley,Dimensional Fund Advisors LP,0.0067,Institution,#32524a
Morgan Stanley,Invesco Ltd,0.0066,Institution,#244513
Morgan Stanley,Eagle Capital Management LLC 1,0.0064,Institution,#b14e55
Morgan Stanley,Primecap Management Co,0.0063,Institution,#45374d
Morgan Stanley,Fisher Asset Management LLC,0.0051,Institution,#1e36e1
Morgan Stanley,Legal General Group PLC,0.0050,Institution,#ff6200
Morgan Stanley,Manufacturers Life Insurance Company The,0.0048,Institution,#bd6f91
Morgan Stanley,Insider,0.0929,Insider,#797979
Morgan Stanley,Retail,0.1666,Retail,#ffffff
Northern Trust Corp,Vanguard Group Inc,0.1052,Institution,#651c9c
Northern Trust Corp,Blackrock Inc,0.0697,Institution,#0b0bff
Northern Trust Corp,State Street Corp,0.0458,Institution,#05e2ff
Northern Trust Corp,Jpmorgan Chase Co,0.0349,Institution,#42649e
Northern Trust Corp,Northern Trust Corp,0.0323,Institution,#ffb300
Northern Trust Corp,Fmr LLC,0.0319,Institution,#c8ff00
Northern Trust Corp,American Century Companies Inc,0.0251,Institution,#12ed76
Northern Trust Corp,State Farm Mutual Automobile Insurance Co,0.0237,Institution,#d04d2f
Northern Trust Corp,Barrow Hanley Mewhinney Strauss LLC,0.0219,Institution,#a56b5a
Northern Trust Corp,Ameriprise Financial Inc,0.0209,Institution,#ffcc00
Northern Trust Corp,Primecap Management Co,0.0191,Institution,#45374d
Northern Trust Corp,Price T Rowe Associates Inc,0.0179,Institution,#af03ff
Northern Trust Corp,Geode Capital Management LLC,0.0172,Institution,#76bf3d
Northern Trust Corp,Fiduciary Management Inc,0.0138,Institution,#5491ab
Northern Trust Corp,Nuance Investments LLC,0.0136,Institution,#b24d98
Northern Trust Corp,Charles Schwab Investment Management,0.0118,Institution,#233c8c
Northern Trust Corp,Goldman Sachs Group Inc,0.0116,Institution,#c9b835
Northern Trust Corp,Massachusetts Financial Services Co,0.0115,Institution,#c271b4
Northern Trust Corp,Invesco Ltd,0.0102,Institution,#244513
Northern Trust Corp,Nn Investment Partners Holdings Nv,0.0102,Institution,#67c03f
Northern Trust Corp,Champlain Investment Partners LLC,0.0093,Institution,#cd3f32
Northern Trust Corp,Ariel Investments LLC,0.0085,Institution,#6d4db2
Northern Trust Corp,Bank Of New York Mellon,0.0082,Institution,#fb02ff
Northern Trust Corp,Wellington Management Group Llp,0.0081,Institution,#5eff01
Northern Trust Corp,Vanguard Group Inc,0.0686,Institution,#651c9c
Northern Trust Corp,Fidelity Investments,0.0083,Institution,#294a20
Northern Trust Corp,Price T Rowe Associates Inc,0.0095,Institution,#af03ff
Northern Trust Corp,Jpmorgan Chase Co,0.0088,Institution,#42649e
Northern Trust Corp,Insider,0.0566,Insider,#797979
Northern Trust Corp,Retail,0.1055,Retail,#ffffff
Northern Trust Corp,Other Institution,0.1603,Institution,#000000
General Mills Inc,Vanguard Group Inc,0.0842,Institution,#651c9c
General Mills Inc,Blackrock Inc,0.0781,Institution,#0b0bff
General Mills Inc,State Street Corp,0.0533,Institution,#05e2ff
General Mills Inc,Capital International Investors,0.0417,Institution,#8502ff
General Mills Inc,Capital Research Global Investors,0.0389,Institution,#8502ff
General Mills Inc,Capital World Investors,0.0296,Institution,#8502ff
General Mills Inc,Invesco Ltd,0.0268,Institution,#244513
General Mills Inc,Charles Schwab Investment Management,0.0176,Institution,#233c8c
General Mills Inc,Geode Capital Management LLC,0.0147,Institution,#76bf3d
General Mills Inc,Northern Trust Corp,0.0131,Institution,#ffb300
General Mills Inc,Jensen Investment Management Inc,0.0112,Institution,#51a8ae
General Mills Inc,Bank Of New York Mellon,0.0098,Institution,#fb02ff
General Mills Inc,Bank Of America Corp,0.0097,Institution,#ff2f00
General Mills Inc,Morgan Stanley,0.0096,Institution,#ff1097
General Mills Inc,Wells Fargo Company,0.0078,Institution,#fff700
General Mills Inc,California Public Employees Retirement,0.0075,Institution,#decf21
General Mills Inc,Legal General Group PLC,0.0074,Institution,#ff6200
General Mills Inc,Lsv Asset Management,0.0071,Institution,#44335c
General Mills Inc,Royal Bank Of Canada,0.0069,Institution,#dc4223
General Mills Inc,Federated Hermes Inc,0.0069,Institution,#ad9e52
General Mills Inc,Ubs Asset Management Americas Inc,0.0065,Institution,#ccb762
General Mills Inc,Swiss National Bank,0.0051,Institution,#e21d20
General Mills Inc,Goldman Sachs Group Inc,0.0051,Institution,#c9b835
General Mills Inc,Deutsche Bank Ag,0.0050,Institution,#b84757
General Mills Inc,Renaissance Technologies LLC,0.0049,Institution,#53ac71
General Mills Inc,Income Fund of America,0.0380,Institution,#1b40e4
General Mills Inc,Vanguard Group Inc,0.0490,Institution,#651c9c
General Mills Inc,Invesco Ltd,0.0103,Institution,#244513
General Mills Inc,Fidelity Investments,0.0096,Institution,#244513
General Mills Inc,Insider,0.0135,Insider,#797979
General Mills Inc,Retail,0.1982,Retail,#ffffff
General Mills Inc,Other Institution,0.1729,Institution,#000000
Ubs Group Ag,Norges Bank Investment Management,0.0443,Institution,#b84785
Ubs Group Ag,Massachusetts Financial Services Co,0.0341,Institution,#c271b4
Ubs Group Ag,Ubs Group Ag,0.0331,Institution,#ccb762
Ubs Group Ag,Credit Suisse Ag 1,0.0302,Institution,#43bca8
Ubs Group Ag,Vanguard Group Inc,0.0274,Institution,#651c9c
Ubs Group Ag,Dodge Cox,0.0231,Institution,#ebb3ff
Ubs Group Ag,Capital International Investors,0.0124,Institution,#8502ff
Ubs Group Ag,Wellington Management Group Llp,0.0113,Institution,#5eff01
Ubs Group Ag,Zurcher Kantonalbank Z URI Ch Cantonalbank,0.0108,Institution,#59c53a
Ubs Group Ag,Goldman Sachs Group Inc,0.0105,Institution,#c9b835
Ubs Group Ag,Pictet Asset Management Ltd,0.0084,Institution,#61a659
Ubs Group Ag,Deutsche Bank Ag,0.0059,Institution,#b84757
Ubs Group Ag,Allianz Asset Management GM Bh,0.0057,Institution,#84639c
Ubs Group Ag,Fmr LLC,0.0055,Institution,#c8ff00
Ubs Group Ag,Brandes Investment Partners LP,0.0045,Institution,#dd3f22
Ubs Group Ag,Royal Bank Of Canada,0.0043,Institution,#dc4223
Ubs Group Ag,Jpmorgan Chase Co,0.0043,Institution,#42649e
